Тип	№	Транскрипция	Заголовок	Таймкод	Источник	Статус	Ссылка	Полный материал
текст блога	1	U (Kant 1 U.txt)	Зачем делать добро, если нет гарантий результата?	01:14–03:07	Kant1-content-shortlist.md	идея		"Заголовок (H1): Зачем делать добро, если нет гарантий результата?

Лид:
Мы легко говорим о добре, долге и добродетели. Труднее ответить на другой вопрос: почему продолжать, если мир не обещает вознаграждения за нравственное усилие?

План (структура текста):
1. Постановка проблемы: «где гарантии?»
2. Почему моральная жизнь не работает как технология.
3. Как из этого возникает вопрос надежды.
4. Что это меняет в повседневном действии.

CTA в конце статьи:
Полный разбор этой дилеммы (Кант, Камю, Дойч) — в квартальном паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	2	U (Kant 1 U.txt)	Надежда поддерживает — или делает нас тревожными?	02:45–03:07 + 17:27–18:50	Kant1-content-shortlist.md	идея		"Заголовок (H1): Надежда поддерживает — или делает нас тревожными?

Лид:
В одном и том же разговоре надежда появляется как опора и как источник внутреннего беспокойства. Возможно, это не противоречие, а две функции одного феномена.

План:
1. Надежда как ресурс продолжать действие.
2. Надежда как зависимость от ожидаемого.
3. Связка «страх — надежда» и вопрос о манипуляции.
4. Практический тест для себя: в моей надежде больше свободы или больше страха?

CTA:
В паке ФКЧ — карта различений «страх / надежда / невозмутимость».

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	3	U (Kant 1 U.txt)	Что в наших суждениях основано на опыте, а что — на теории?	32:50–33:27 + 42:27–44:05	Kant1-content-shortlist.md	идея		"Заголовок (H1): Что в наших суждениях основано на опыте, а что — на теории?

Лид:
Фраза «это мнение не из опыта» звучит как техническая, но на деле это один из главных интеллектуальных фильтров: где факт, а где красиво оформленное предположение.

План:
1. Реплика «не из опыта» как ключ чтения.
2. Спор о «каждом поколении хуже предыдущего».
3. Почему «все так говорят» не равно доказательству.
4. Как это применять к своим убеждениям.

CTA:
В квартальном паке ФКЧ собраны примеры, где мы разводим опыт и домысел шаг за шагом.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	4	U (Kant 1 U.txt)	От абзаца к схеме: как мы думаем в клубе	50:49–53:12 + 01:35:44–01:36:39	Kant1-content-shortlist.md	идея		"Заголовок (H1): От абзаца к схеме: как мы думаем в клубе

Лид:
Сложный текст становится яснее не тогда, когда его «пересказывают», а когда понятия ставят в отношения: что центрально, что из чего следует, где разрывы.

План:
1. «Куда поставить надежду?» как рабочий вопрос.
2. Центральное понятие и стрелки между «потенцией» и «реализацией».
3. Почему важно держаться в пределах прочитанного.
4. Карта как инструмент, а не украшение.

CTA:
В паке ФКЧ — готовые карты и комментарии, как они собирались.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	5	U (Kant 1 U.txt)	Где проходит граница ответственности: в человеке или в среде?	01:23:01–01:24:25	Kant1-content-shortlist.md	идея		"Заголовок (H1): Где проходит граница ответственности: в человеке или в среде?

Лид:
Современная культура часто объясняет поступки обстоятельствами. Кантовский узел в том, что без идеи ответственности моральный разговор теряет опору.

План:
1. Аргумент «он жертва обстоятельств».
2. Контраргумент: что делать с ответственностью субъекта.
3. Почему этот спор нельзя закрыть одной формулой.
4. Вопрос читателю: где вы проводите границу?

CTA:
Полный разбор этой границы и связанных понятий — в квартальном паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	6	V (Kant 1 V.txt)	От «что делать» к «на что надеяться»: зачем Кант снова про человека	00:30–01:02 + 02:40–04:52	Kant1V-content-shortlist.md	идея		"Заголовок (H1): От «что делать» к «на что надеяться»: зачем Кант снова про человека

Лид:
Годовая программа клуба привязана к четырём вопросам из финала «Критики чистого разума». Третий вопрос — о надежде — не про утешение, а про то, на что опереться, когда нравственный путь не даёт технологических гарантий.

План:
1. Зачем читать «Религию в пределах только разума», а не финал Критики.
2. Мост: долг понятен — что дальше?
3. Гарантии vs зыбкость нравственной жизни.
4. Надежда у Сенеки и в обыденном опыте — два полюса.

CTA:
Связная линия сезона и разборы — в квартальном паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	7	V (Kant 1 V.txt)	Когда кажется, что автор с вами грубо: как читать Канта без обиды	13:42–16:35	Kant1V-content-shortlist.md	идея		"Заголовок (H1): Когда кажется, что автор с вами грубо: как читать Канта без обиды

Лид:
Участники спорят: это ирония, пренебрежение или просто перечень того, как люди обычно говорят о мире? В клубе важно не «угадать настроение Канта», а отделить перечисление мнений от собственных выводов.

План:
1. Две картины: золотой век и страшный суд.
2. Реакция читателя: «он издевается?»
3. Контрпункт: описание состояния мира без морализаторства.
4. Мини-урок: старение как «условное зло» — пример из обсуждения.

CTA:
Больше примеров чтения «сложного тона» — в паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	8	V (Kant 1 V.txt)	Достаточно ли десяти добрых, чтобы «держать» человечество?	32:06–34:21	Kant1V-content-shortlist.md	идея		"Заголовок (H1): Достаточно ли десяти добрых, чтобы «держать» человечество?

Лид:
От абзаца Канта — к русским поговоркам и к Фихте: не доказательство, а образ того, как мы надеемся на «лучший дух» в истории, не будучи уверены в собственной роли.

План:
1. Зло отдельных людей и траектория цивилизации.
2. Образ «деревни на одном добряке» / праведников.
3. Фихте: кто двигает человечество?
4. Вопрос: победа лучшего духа — вместе с тобой или без тебя?

CTA:
Синтез позиций с картой понятий — в паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	9	V (Kant 1 V.txt)	«Завтра облагодетельствовать — сегодня съесть»: где граница добра	38:04–39:52	Kant1V-content-shortlist.md	идея		"Заголовок (H1): «Завтра облагодетельствовать — сегодня съесть»: где граница добра

Лид:
Можно ли описывать биологическую необходимость словами добра и зла? В обсуждении всплывает и наивная, и честная постановка: без ответа в двух абзацах, но с ясным направлением для дальнейшего чтения.

План:
1. Жизнь vs смерть других существ.
2. Необходимость vs дар.
3. Ограничение: в прочитанном пока нет материала для финального ответа.
4. Зачем такие вопросы задавать до «готовой схемы».

CTA:
Разбор в паке ФКЧ: фрагмент, вопросы, карта.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
текст блога	10	V (Kant 1 V.txt)	Фатализм, воспитание природы или исправление максим: три пути Канта	01:07:17–01:09:38	Kant1V-content-shortlist.md	идея		"Заголовок (H1): Фатализм, воспитание природы или исправление максим: три пути Канта

Лид:
После тяжёлого примера из обсуждения ведущий собирает три линии: мир катится к худшему; в природе есть зачатки добра — их надо вынуть; добро и зло в мысленных правилах — значит, менять максимы. Это не меню «выбери одно», а карта вариантов для чтения дальше.

План:
1. Первый путь: почти ничего не сделаешь.
2. Второй: педагогика, тело, «обуздание природы».
3. Третий: правка ума и максим.
4. Почему важно держать три голоса в голове одновременно.

CTA:
Полная схема с пояснениями — в квартальном паке ФКЧ.

Единый мост к паку (в конец описания/поста): «Это фрагмент из живых чтений. Полный разбор сезона «На что я могу надеяться?» — в квартальном паке ФКЧ: текст, карты понятий и связная линия аргументов.»"
